Railroad,Code,Station Name,Branch,Latitude,Longitude,Outbound Title,Inbound Title,Zone,Station URL,Parking Map URL,Accessibility,Georeference
LIRR,ATL,Atlantic Terminal,City Terminal Zone,40.68445728,-73.9770303,Departures,Arrivals,1,https://new.mta.info/stations/atlantic-terminal,,FULL,POINT (-73.9770303 40.68445728)
LIRR,GWN,Greenlawn,Port Jefferson,40.8686237,-73.36300289,To Port Jefferson,To Jamaica & New York,9,https://new.mta.info/stations/greenlawn,https://new.mta.info/document/115871,FULL,POINT (-73.36300289 40.8686237)
LIRR,PLN,Pinelawn,Ronkonkoma,40.74535986,-73.39955329,To Ronkonkoma & Points East,To Jamaica & New York,9,https://new.mta.info/stations/pinelawn,,FULL,POINT (-73.39955329 40.74535986)
LIRR,ERY,East Rockaway,Long Beach,40.64215213,-73.65813416,To Long Beach,To Jamaica & New York,7,https://new.mta.info/stations/east-rockaway,https://new.mta.info/document/113721,FULL,POINT (-73.65813416 40.64215213)
LIRR,EWN,East Williston,Oyster Bay,40.75629024,-73.6394629,To Oyster Bay,To Jamaica & New York,4,https://new.mta.info/stations/east-williston,https://new.mta.info/document/113726,FULL,POINT (-73.6394629 40.75629024)
LIRR,BRS,Bellerose,Hempstead,40.72221816,-73.71648547,To Points East,To Jamaica & New York,4,https://new.mta.info/stations/bellerose,https://new.mta.info/document/113636,NONE,POINT (-73.71648547 40.72221816)
LIRR,LIC,Long Island City,City Terminal Zone,40.74135624,-73.95603088,Departures,Arrivals,1,https://new.mta.info/stations/long-island-city,,FULL,POINT (-73.95603088 40.74135624)
LIRR,VSM,Valley Stream,Far Rockaway,40.66155042,-73.70481012,To Points East,To Jamaica & New York,4,https://new.mta.info/stations/valley-stream,https://new.mta.info/document/113786,FULL,POINT (-73.70481012 40.66155042)
LIRR,HGN,Hempstead Gardens,West Hempstead,40.69490918,-73.64620359,To West Hempstead,To Jamaica & New York,4,https://new.mta.info/stations/hempstead-gardens,https://new.mta.info/document/115901,FULL,POINT (-73.64620359 40.69490918)
LIRR,BHN,Bridgehampton,Montauk,40.93911034,-72.30979879,To Montauk,To Jamaica & New York,14,https://new.mta.info/stations/bridgehampton,https://new.mta.info/document/113661,FULL,POINT (-72.30979879 40.93911034)
LIRR,SFD,Seaford,Babylon,40.67576413,-73.48647748,To Babylon & Points East,To Jamaica & New York,7,https://new.mta.info/stations/seaford,https://new.mta.info/document/115801,FULL,POINT (-73.48647748 40.67576413)
LIRR,PDM,Plandome,Port Washington,40.81054479,-73.69524064,To Port Washington,To New York,4,https://new.mta.info/stations/plandome,https://new.mta.info/document/117386,FULL,POINT (-73.69524064 40.81054479)
LIRR,SSM,Mets-Willets Point,Port Washington,40.75260683,-73.84369038,To Great Neck & Port Washington,To Woodside & New York,1,https://new.mta.info/stations/mets-willets-point-lirr,,NONE,POINT (-73.84369038 40.75260683)
LIRR,FHL,Forest Hills,City Terminal Zone,40.71959922,-73.84483539,To Jamaica & Points East,To New York,1,https://new.mta.info/stations/forest-hills,,FULL,POINT (-73.84483539 40.71959922)
LIRR,STN,Smithtown,Port Jefferson,40.85661712,-73.19767748,To Port Jefferson,To Jamaica & New York,10,https://new.mta.info/stations/smithtown,https://new.mta.info/document/115806,FULL,POINT (-73.19767748 40.85661712)
LIRR,GCY,Garden City,Hempstead,40.72308753,-73.64051987,To Hempstead,To Jamaica & New York,4,https://new.mta.info/stations/garden-city,https://new.mta.info/document/115791,FULL,POINT (-73.64051987 40.72308753)
LIRR,KGN,Kew Gardens,City Terminal Zone,40.70970443,-73.83092566,To Jamaica & Points East,To New York,1,https://new.mta.info/stations/kew-gardens,https://new.mta.info/document/115981,NONE,POINT (-73.83092566 40.70970443)
